Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year
1993,N2Deep,Back To The Hotel,14,1993-01-06
1993,Positive K,I Got A Man,14,1993-01-06
1993,Boy George,"The Crying Game (From ""The Crying Game"")",15,1993-03-10
1993,Digable Planets,Rebirth Of Slick (Cool Like Dat),15,1993-01-13
1993,En Vogue,"""Give It Up, Turn It Loose""",15,1993-01-06
1993,Ice Cube,It Was A Good Day,15,1993-03-03
1993,Saigon Kick,Love Is On The Way,15,1993-01-06
1993,Inner Circle,Sweat (A La La La La Long),16,1993-08-04
1993,The Cranberries,Linger,16,1993-10-20
1993,The Heights,How Do You Talk To An Angel,16,1993-01-06
1993,Captain Hollywood Project,More And More,17,1993-04-28
1993,Domino,Getto Jam,17,1993-11-24
1994,Ace of Base,The Sign,1,1994-01-05
1994,All-4-One,I Swear,1,1994-04-20
1994,Boyz II Men,I'll Make Love To You,1,1994-08-10
1994,Boyz II Men,On Bended Knee,1,1994-11-16
1994,Bryan Adams/Rod Stewart/Sting,All For Love,1,1994-01-05
1994,Celine Dion,The Power Of Love,1,1994-01-05
1994,Ini Kamoze,"Here Comes The Hotstepper (From ""Ready To Wear"")",1,1994-09-14
1994,Lisa Loeb & Nine Stories,"Stay (I Missed You) (From ""Reality Bites"")",1,1994-05-04
1994,Mariah Carey,Hero,1,1994-01-05
1994,R. Kelly,Bump N' Grind,1,1994-02-02
1994,Janet Jackson,"""Any Time, Any Place/And On And On""",2,1994-05-25
1994,Luther Vandross & Mariah Carey,Endless Love,2,1994-09-07
1994,Madonna,"I'll Remember (From ""With Honors"")",2,1994-03-30
1994,Sheryl Crow,All I Wanna Do,2,1994-08-03
1994,Warren G & Nate Dogg,"Regulate (From ""Above The Rim"")",2,1994-04-20
1994,Ace of Base,All That She Wants,3,1994-01-05
1994,Changing Faces,Stroke You Up,3,1994-07-27
1994,Coolio,Fantastic Voyage,3,1994-06-01
1994,John Mellencamp With Me'Shell Ndegeocello,Wild Night,3,1994-05-25
1994,Madonna,Secret,3,1994-10-05
1994,Mariah Carey,Without You/Never Forget You,3,1994-01-26
1994,Prince,The Most Beautiful Girl In The World,3,1994-03-02
1994,Real McCoy,Another Night,3,1994-08-24
1994,Salt-N-Pepa Featuring En Vogue,Whatta Man,3,1994-01-19
1994,Toni Braxton,Breathe Again,3,1994-01-05
1994,Ace of Base,Don't Turn Around,4,1994-05-04
1994,Babyface,When Can I See You,4,1994-06-15
1994,Bon Jovi,Always,4,1994-09-28
1994,Crash Test Dummies,Mmm Mmm Mmm Mmm,4,1994-01-26
1994,Elton John,"Can You Feel The Love Tonight (From ""The Lion King"")",4,1994-05-18
1994,Enigma,Return To Innocence,4,1994-03-02
1994,Janet Jackson,Again,4,1994-01-05
1994,TLC,Creep,4,1994-11-09
1994,Aaliyah,Back & Forth,5,1994-04-27
1994,All-4-One,So Much In Love,5,1994-01-05
1994,DRS,Gangsta Lean,5,1994-01-05
1994,Immature,Never Lie,5,1994-07-27
1994,Aaliyah,At Your Best (You Are Love),6,1994-08-31
1994,Big Mountain,"Baby I Love Your Way (From ""Reality Bites"")",6,1994-02-23
1994,Brandy,I Wanna Be Down,6,1994-09-28
1994,Da Brat,Funkdafied,6,1994-06-01
1994,Michael Bolton,Said I Loved You...But I Lied,6,1994-01-05
1994,Bryan Adams,Please Forgive Me,7,1994-01-05
1994,Domino,Getto Jam,7,1994-01-05
1994,Richard Marx,Now And Forever,7,1994-01-19
1994,Tag Team,Whoomp! (There It Is),7,1994-01-05
1994,Toni Braxton,You Mean The World To Me,7,1994-03-30
1994,Blackstreet,Before I Let You Go,8,1994-10-19
1994,Janet Jackson,You Want This/70's Love Groove,8,1994-10-19
1994,Salt-N-Pepa,Shoop,8,1994-01-05
1994,Snoop Dogg,What's My Name?,8,1994-01-05
1994,Snoop Doggy Dogg,Gin And Juice,8,1994-01-26
1994,The Cranberries,Linger,8,1994-01-05
1994,Xscape,Understanding,8,1994-01-05
1994,69 Boyz,Tootsee Roll,9,1994-07-06
1994,Bruce Springsteen,"Streets Of Philadelphia (From ""Philadelphia"")",9,1994-02-16
1994,Craig Mack,Flava In Ya Ear,9,1994-08-10
